HEADING,LOCA_ID,LOCA_TYPE,LOCA_STAT,LOCA_NATE,LOCA_NATN,LOCA_GL,LOCA_REM,LOCA_FDEP,LOCA_STAR,LOCA_PURP,LOCA_TERM,LOCA_ENDD,LOCA_DATM,LOCA_LAT,LOCA_LON,LOCA_LLZ,LOCA_WDEP
DATA,HKW001-PCPT,SCP,Final,558223.13,5850718.46,,"",55.43,2019-06-11,"","","","","","","",27.0
DATA,HKW002-PCPT,SCP,Final,558511.0,5850097.2,,"",55.34,2019-06-11,"","","","","","","",27.0
DATA,HKW002-SCPT,SCP,Final,558507.12,5850094.48,,"",54.09,2019-06-11,"","","","","","","",28.0
DATA,HKW002-TCPT,SCP,Final,558507.57,5850096.77,,"",6.1,2019-06-14,"","","","","","","",28.0
DATA,HKW003-PCPT,SCP,Final,557604.13,5849629.04,,"",50.44,2019-06-11,"","","","","","","",27.0
DATA,HKW004-PCPT,SCP,Final,558778.71,5849405.37,,"",54.4,2019-06-11,"","","","","","","",27.0
DATA,HKW004-TCPT,SCP,Final,558783.02,5849403.65,,"",6.1,2019-06-14,"","","","","","","",27.0
DATA,HKW005-PCPT,SCP,Final,556171.27,5848680.2,,"",54.97,2019-06-11,"","","","","","","",27.0
DATA,HKW006-PCPT,SCP,Final,555642.64,5847968.25,,"",56.51,2019-06-11,"","","","","","","",28.0
DATA,HKW006-SCPT,SCP,Final,555639.4,5847963.33,,"",53.92,2019-06-11,"","","","","","","",28.0
DATA,HKW006-TCPT,SCP,Final,555640.75,5847960.42,,"",6.01,2019-06-14,"","","","","","","",28.0
DATA,HKW007-PCPT,SCP,Final,558329.3,5847043.76,,"",44.82,2019-06-10,"","","","","","","",27.0
DATA,HKW008-PCPT,SCP,Final,556120.88,5846241.53,,"",56.56,2019-06-10,"","","","","","","",28.0
DATA,HKW009-PCPT,SCP,Final,556935.07,5846082.61,,"",56.08,2019-06-10,"","","","","","","",29.0
DATA,HKW010-PCPT,SCP,Final,557711.91,5845935.36,,"",55.98,2019-06-10,"","","","","","","",28.0
DATA,HKW011-PCPT,SCP,Final,558470.47,5845797.47,,"",51.34,2019-06-10,"","","","","","","",28.0
DATA,HKW012-PCPT,SCP,Final,555646.81,5845927.68,,"",55.48,2019-06-10,"","","","","","","",28.0
DATA,HKW013-PCPT,SCP,Final,555494.45,5845143.16,,"",56.51,2019-06-10,"","","","","","","",29.0
DATA,HKW014-PCPT,SCP,Final,554578.85,5844503.88,,"",54.58,2019-06-07,"","","","","","","",29.0
DATA,HKW014-SCPT-A,SCP,Final,554581.39,5844503.18,,"",44.08,2019-06-12,"","","","","","","",29.0
DATA,HKW014-TCPT,SCP,Final,554575.89,5844503.22,,"",6.04,2019-06-14,"","","","","","","",29.0
DATA,HKW015-PCPT,SCP,Final,555345.96,5844357.51,,"",54.79,2019-06-07,"","","","","","","",28.0
DATA,HKW016-PCPT,SCP,Final,557342.23,5843976.44,,"",27.77,2019-06-10,"","","","","","","",29.0
DATA,HKW016-PCPT-A,SCP,Final,557346.46,5843973.23,,"",45.43,2019-06-10,"","","","","","","",29.0
DATA,HKW016-SCPT,SCP,Final,557345.05,5843969.96,,"",43.4,2019-06-13,"","","","","","","",29.0
DATA,HKW016-TCPT,SCP,Final,557345.67,5843975.66,,"",6.06,2019-06-14,"","","","","","","",29.0
DATA,HKW017-PCPT,SCP,Final,553332.05,5844332.63,,"",54.59,2019-06-06,"","","","","","","",29.0
DATA,HKW018-PCPT,SCP,Final,555221.53,5843549.65,,"",52.72,2019-06-07,"","","","","","","",29.0
DATA,HKW019-PCPT-A,SCP,Final,555595.63,5843497.22,,"",50.87,2019-06-09,"","","","","","","",27.0
DATA,HKW019-PCPT-B,SCP,Final,555593.59,5843496.72,,"",52.78,2019-06-09,"","","","","","","",27.0
DATA,HKW020-PCPT,SCP,Final,555050.85,5842785.18,,"",48.36,2019-06-09,"","","","","","","",30.0
DATA,HKW020-PCPT-A,SCP,Final,555042.66,5842785.56,,"",54.5,2019-06-09,"","","","","","","",30.0
DATA,HKW021-PCPT,SCP,Final,552610.45,5842845.24,,"",51.56,2019-06-06,"","","","","","","",28.0
DATA,HKW022-PCPT-A,SCP,Final,555763.01,5842242.43,,"",55.2,2019-06-09,"","","","","","","",28.0
DATA,HKW022-SCPT,SCP,Final,555756.69,5842242.98,,"",54.36,2019-06-13,"","","","","","","",29.0
DATA,HKW022-TCPT,SCP,Final,555759.82,5842241.54,,"",6.09,2019-06-13,"","","","","","","",29.0
DATA,HKW023-PCPT,SCP,Final,557646.88,5841476.65,,"",53.68,2019-06-10,"","","","","","","",29.0
DATA,HKW024-PCPT,SCP,Final,551690.89,5842204.9,,"",54.89,2019-06-05,"","","","","","","",27.5
DATA,HKW025-PCPT,SCP,Final,550850.14,5841956.92,,"",53.87,2019-06-05,"","","","","","","",26.0
DATA,HKW025-SCPT,SCP,Final,550852.2,5841956.65,,"",48.15,2019-06-14,"","","","","","","",26.0
DATA,HKW025-TCPT,SCP,Final,550847.22,5841956.11,,"",6.09,2019-06-14,"","","","","","","",26.0
DATA,HKW026-PCPT-A,SCP,Final,554752.56,5841207.96,,"",51.82,2019-06-05,"","","","","","","",29.0
